country,e_mdr_pct_rr_new
Afghanistan,85
Albania,25
Algeria,100
American Samoa,83
Andorra,
Angola,67
Anguilla,88
Antigua and Barbuda,79
Argentina,94
Armenia,87
Aruba,79
Australia,71
Austria,98
Azerbaijan,98
Bahamas,33
Bahrain,100
Bangladesh,88
Barbados,
Belarus,96
Belgium,94
Belize,88
Benin,42
Bermuda,
Bhutan,90
Bolivia (Plurinational State of),88
"Bonaire, Saint Eustatius and Saba",88
Bosnia and Herzegovina,67
Botswana,69
Brazil,93
British Virgin Islands,79
Brunei Darussalam,
Bulgaria,70
Burkina Faso,67
Burundi,67
Cabo Verde,67
Cambodia,78
Cameroon,67
Canada,83
Cayman Islands,
Central African Republic,100
Chad,67
Chile,47
China,86
"China, Hong Kong SAR",74
"China, Macao SAR",50
Colombia,100
Comoros,67
Congo,67
Cook Islands,
Costa Rica,80
Côte d'Ivoire,80
Croatia,
Cuba,33
Curaçao,
Cyprus,
Czechia,60
Democratic People's Republic of Korea,86
Democratic Republic of the Congo,67
Denmark,100
Djibouti,100
Dominica,
Dominican Republic,88
Ecuador,68
Egypt,24
El Salvador,29
Equatorial Guinea,67
Eritrea,67
Estonia,86
Ethiopia,59
Fiji,
Finland,88
France,100
French Polynesia,
Gabon,67
Gambia,67
Georgia,85
Germany,100
Ghana,67
Greece,100
Greenland,79
Grenada,88
Guam,
Guatemala,71
Guinea,67
Guinea-Bissau,67
Guyana,88
Haiti,88
Honduras,80
Hungary,86
Iceland,
India,90
Indonesia,68
Iran (Islamic Republic of),62
Iraq,18
Ireland,100
Israel,77
Italy,82
Jamaica,100
Japan,68
Jordan,100
Kazakhstan,92
Kenya,54
Kiribati,83
Kuwait,89
Kyrgyzstan,83
Lao People's Democratic Republic,83
Latvia,100
Lebanon,40
Lesotho,67
Liberia,67
Libya,85
Lithuania,95
Luxembourg,
Madagascar,100
Malawi,56
Malaysia,26
Maldives,90
Mali,67
Malta,
Marshall Islands,
Mauritania,67
Mauritius,50
Mexico,92
Micronesia (Federated States of),83
Monaco,79
Mongolia,64
Montenegro,0
Montserrat,88
Morocco,100
Mozambique,95
Myanmar,98
Namibia,82
Nauru,79
Nepal,100
Netherlands,100
New Caledonia,
New Zealand,50
Nicaragua,67
Niger,67
Nigeria,67
Niue,83
Northern Mariana Islands,100
Norway,100
Oman,75
Pakistan,88
Palau,
Panama,88
Papua New Guinea,40
Paraguay,33
Peru,87
Philippines,77
Poland,75
Portugal,100
Puerto Rico,
Qatar,100
Republic of Korea,73
Republic of Moldova,82
Romania,94
Russian Federation,86
Rwanda,93
Saint Kitts and Nevis,79
Saint Lucia,
Saint Vincent and the Grenadines,88
Samoa,
San Marino,79
Sao Tome and Principe,67
Saudi Arabia,69
Senegal,56
Serbia,75
Seychelles,
Sierra Leone,67
Singapore,82
Sint Maarten (Dutch part),79
Slovakia,
Slovenia,
Solomon Islands,83
Somalia,60
South Africa,60
South Sudan,67
Spain,79
Sri Lanka,33
Sudan,67
Suriname,
Swaziland,96
Sweden,82
Switzerland,100
Syrian Arab Republic,78
Tajikistan,47
Thailand,91
The Former Yugoslav Republic of Macedonia,75
Timor-Leste,90
Togo,67
Tokelau,83
Tonga,83
Trinidad and Tobago,79
Tunisia,100
Turkey,72
Turkmenistan,97
Turks and Caicos Islands,79
Tuvalu,83
Uganda,88
Ukraine,97
United Arab Emirates,79
United Kingdom of Great Britain and Northern Ireland,87
United Republic of Tanzania,85
United States of America,80
Uruguay,67
US Virgin Islands,79
Uzbekistan,96
Vanuatu,
Venezuela (Bolivarian Republic of),88
Viet Nam,98
Wallis and Futuna Islands,83
West Bank and Gaza Strip,85
Yemen,74
Zambia,27
Zimbabwe,67
